Chain Name,Item Name,Category,Calories,Fat (grams),Sugar (grams),Price
KFC,Onion Rings,Sides,263,28.9,1.1,£7.66
McDonald's,Bacon Deluxe,Burger,749,31.0,8.9,£5.94
Wimpy,Brownie,Dessert,577,14.4,28.1,£4.10
Burger King,Orange Juice,Drink,153,7.2,39.8,£2.77
Greggs,Garlic Bread,Sides,200,24.8,1.9,£2.95
Greggs,Classic Burger,Burger,467,23.0,5.8,£7.47
Burger King,Apple Pie,Dessert,161,22.9,10.2,£9.28
Greggs,Quarter Smash,Burger,890,8.6,3.7,£1.44
McDonald's,Ice Cream Sundae,Dessert,215,23.5,25.3,£3.22
Wendy's,Brownie,Dessert,370,16.8,33.7,£2.59
Wimpy,Iced Tea,Drink,48,4.6,2.0,£6.23
Five Guys,Lemonade,Drink,131,4.1,16.8,£5.57
Wimpy,Fruit Pot,Dessert,104,16.4,23.2,£5.75
Wimpy,Water,Drink,276,11.2,38.6,£4.63
Wimpy,Doughnut,Dessert,458,2.5,50.4,£7.88
Greggs,Side Salad,Sides,225,19.5,2.9,£3.10
Greggs,Mozzarella Sticks,Sides,507,24.1,5.8,£5.50
Wendy's,Brownie,Dessert,370,16.8,33.7,£2.59
Burger King,Water,Drink,197,7.4,44.8,£9.65
Wendy's,Halloumi Burger,Burger,472,33.3,3.1,£6.68
Wimpy,Onion Rings,Sides,394,28.0,2.3,£1.27
Nando's,Brownie,Dessert,359,27.3,47.9,£2.84
Wendy's,Veggie Burger,Burger,348,18.8,5.4,£6.58
Nando's,BBQ Tower,Burger,641,25.2,6.9,£6.40
Burger King,Curly Fries,Sides,517,7.5,2.8,£8.49
Leon,Spicy Chicken Burger,Burger,609,38.1,6.7,£9.05
Leon,Cheesecake Slice,Dessert,113,6.0,42.4,£9.84
Wimpy,Orange Juice,Drink,6,6.8,23.5,£5.52
Subway,Fruit Pot,Dessert,498,6.8,48.2,£2.41
Wimpy,Curly Fries,Sides,379,19.9,1.2,£8.08
Subway,Double Stack,Burger,417,25.0,9.3,£9.13
Nando's,Brownie,Dessert,434,5.3,40.7,£9.47
Burger King,Iced Tea,Drink,418,0.6,23.1,£3.15
Five Guys,Milkshake,Drink,292,1.6,30.6,£4.37
Leon,Onion Rings,Sides,413,13.9,2.6,£3.15
Leon,Fruit Pot,Dessert,531,14.7,25.4,£2.59
McDonald's,Chicken Nuggets,Sides,233,27.8,2.7,£5.36
McDonald's,Quarter Smash,Burger,560,35.2,5.6,£3.23
McDonald's,Spicy Chicken Burger,Burger,362,40.3,8.8,£5.64
Subway,BBQ Tower,Burger,689,19.6,4.8,£1.23
KFC,Classic Burger,Burger,831,33.1,8.1,£3.94
Burger King,BBQ Tower,Burger,702,22.5,9.7,£5.16
Wendy's,Water,Drink,337,5.8,47.5,£9.80
KFC,Hot Chocolate,Drink,21,5.1,5.0,£5.48
Leon,Milkshake,Drink,75,7.2,5.0,£8.29
Greggs,Water,Drink,396,8.3,42.1,£9.16
Burger King,Milkshake,Drink,410,10.3,56.9,£4.83
Wendy's,Garlic Bread,Sides,224,6.6,2.9,£4.91
Wendy's,Energy Drink,Drink,432,7.9,22.9,£1.27
Burger King,Energy Drink,Drink,350,8.4,43.9,£7.03
