Date,Day of Week,Item Name,Category,Price (£),Quantity Sold,Outside Temp (Celsius)
2024-09-02,Monday,Milk,Cold Drink,1.38,40,18.9
2024-09-02,Monday,Smoothie,Cold Drink,1.16,37,19.9
2024-09-02,Monday,Pasta Bake,Hot Food,2.28,38,23.9
2024-09-04,Wednesday,Pretzels,Snack,0.91,10,20.0
2024-09-06,Friday,Fruit Pot,Fruit,0.77,32,18.9
2024-09-06,Friday,Cereal Bar,Snack,0.84,21,18.4
2024-09-07,Saturday,Jacket Potato,Hot Food,4.39,60,15.5
2024-09-09,Monday,Cereal Bar,Snack,0.71,29,18.8
2024-09-09,Monday,Soup of the Day,Hot Food,3.2,43,18.9
2024-09-10,Tuesday,Crisps,Snack,0.93,28,18.8
2024-09-10,Tuesday,Cookie,Snack,1.39,14,18.8
2024-09-11,Wednesday,Fruit Pot,Fruit,0.9,19,22.5
2024-09-12,Thursday,Mac & Cheese,Hot Food,2.8,65,15.2
2024-09-12,Thursday,Sausage Roll,Hot Food,3.69,46,21.4
2024-09-12,Thursday,Sausage Roll,Hot Food,2.52,55,17.0
2024-09-14,Saturday,Pasta Bake,Hot Food,2.33,54,16.3
2024-09-15,Sunday,Smoothie,Cold Drink,0.84,27,19.6
2024-09-15,Sunday,Grapes,Fruit,0.8,26,17.9
2024-09-15,Sunday,Pretzels,Snack,1.4,16,17.0
2024-09-18,Wednesday,Chicken Curry,Hot Food,2.63,38,16.5
2024-09-18,Wednesday,Jacket Potato,Hot Food,2.57,60,17.6
2024-09-18,Wednesday,Iced Tea,Cold Drink,1.0,27,17.2
2024-09-19,Thursday,Jacket Potato,Hot Food,3.9,45,17.5
2024-09-19,Thursday,Flapjack,Snack,1.18,15,16.3
2024-09-19,Thursday,Cereal Bar,Snack,0.8,35,19.7
2024-09-20,Friday,Cereal Bar,Snack,0.85,16,19.6
2024-09-20,Friday,Banana,Fruit,0.68,14,17.5
2024-09-22,Sunday,Apple,Fruit,0.86,6,17.7
2024-09-23,Monday,Pasta Bake,Hot Food,3.96,45,17.0
2024-09-23,Monday,Chicken Curry,Hot Food,2.71,58,16.6
2024-09-25,Wednesday,Iced Tea,Cold Drink,0.98,22,16.8
2024-09-26,Thursday,Mac & Cheese,Hot Food,3.16,51,16.9
2024-09-26,Thursday,Orange,Fruit,0.69,4,13.7
2024-09-27,Friday,Jacket Potato,Hot Food,2.83,49,17.9
2024-09-27,Friday,Pizza Slice,Hot Food,4.11,54,19.0
2024-09-27,Friday,Chicken Curry,Hot Food,2.3,49,16.9
2024-09-27,Friday,Soup of the Day,Hot Food,2.57,58,14.7
2024-09-28,Saturday,Sausage Roll,Hot Food,2.44,63,14.0
2024-09-28,Saturday,Mac & Cheese,Hot Food,3.05,53,13.4
2024-09-28,Saturday,Chicken Curry,Hot Food,3.95,57,16.0
2024-09-29,Sunday,Smoothie,Cold Drink,1.11,30,16.0
2024-09-29,Sunday,Jacket Potato,Hot Food,2.91,49,18.1
2024-09-29,Sunday,Sausage Roll,Hot Food,2.51,37,17.9
2024-09-30,Monday,Pizza Slice,Hot Food,3.69,150,16.1
2024-10-01,Tuesday,Crisps,Snack,1.05,20,13.8
2024-10-02,Wednesday,Pizza Slice,Hot Food,2.49,53,17.2
2024-10-02,Wednesday,Iced Tea,Cold Drink,1.32,31,16.4
2024-10-03,Thursday,Chicken Curry,Hot Food,2.64,67,13.8
2024-10-04,Friday,Grapes,Fruit,0.62,9,14.8
