Student ID,House,Age,Events Entered,100m Sprint Time (seconds),High Jump (meters)
S1000,Yellow,12,2,16.67,0.91
S1001,Green,14,6,15.56,1.19
S1002,Green,15,3,14.35,1.35
S1003,Yellow,13,2,15.29,0.97
S1004,Red,13,3,16.33,1.15
S1005,Blue,12,3,16.18s,1.02
S1006,Red,12,5,17.18,
S1007,Red,15,6,13.98,1.38
S1008,Blue,15,4,14.41,1.36
S1009,Green,12,3,17.64,0.99
S1010,Yellow,15,4,14.68,1.31
S1011,Red,14,5,14.98,1.14
S1012,Yellow,12,3,17.3,0.99
S1013,Green,13,3,16.72,
S1014,Blue,14,1,16.04,1.19
S1015,Blue,13,3,15.81s,1.13
S1016,Green,12,3,17.83,0.95
S1017,Blue,11,5,17.91,0.83
S1018,Blue,11,4,17.68,0.88
S1019,Yellow,15,2,15.31,1.34
S1020,Red,12,1,17.53,1.02
S1021,Yellow,13,3,16.72,1.07
S1022,Red,13,2,16.39,1.15
S1023,Yellow,15,5,13.54,1.38
S1024,Red,12,6,17.44,0.95
S1025,Green,15,1,14.95,1.33
S1026,Green,15,4,14.54,1.21
S1027,Yellow,15,3,15.63s,1.29
S1028,Yellow,15,2,14.69s,1.24
S1029,Red,14,4,16.48,1.19
S1030,Yellow,12,3,17.88,0.94
S1031,Yellow,11,2,17.62,0.74
S1032,Blue,14,3,14.97,1.22
S1033,Blue,11,4,17.83,0.81
S1034,Blue,11,2,17.99,0.92
S1035,Red,12,4,17.59,1.04
S1036,Red,15,6,14.26,1.33
S1037,Green,11,5,17.4,0.85
S1038,Green,15,1,15.91s,1.31
S1039,Yellow,15,5,14.65,1.22
S1040,Yellow,11,1,18.2,0.86
S1041,Blue,13,4,17.38,1.12
S1042,Red,14,4,15.55,1.22
S1043,Yellow,14,2,14.1,1.13
S1044,Red,14,3,15.77s,1.26
S1045,Blue,11,3,17.66,0.88
S1046,Green,15,3,15.23s,1.25
S1047,Yellow,13,1,15.26,1.1
S1048,Blue,13,2,16.45,1.03
S1049,Yellow,11,2,18.52s,0.83
S1050,Yellow,11,3,18.89s,0.86
S1051,Yellow,12,6,17.77s,1.06
S1052,Yellow,14,5,16.05,1.31
S1053,Blue,15,1,14.64s,1.22
S1054,Yellow,13,4,16.33,1.07
S1055,Green,13,4,15.74,1.07
S1056,Blue,15,5,15.22,
S1057,Red,15,3,15.57,1.31
S1058,Red,13,5,16.71,1.04
S1059,Yellow,13,6,15.82,1.09
S1060,Red,15,4,13.8,1.26
S1061,Blue,13,3,16.03,1.03
S1062,Red,12,4,18.13s,0.99
S1063,Green,13,2,16.44,
S1064,Yellow,11,6,17.46,0.82
S1065,Red,12,3,16.98,1.0
S1066,Blue,12,5,17.68,0.94
S1067,Red,13,4,15.95,1.03
S1068,Yellow,12,3,16.91,0.96
S1069,Blue,12,6,16.87,0.99
S1070,Green,13,2,15.81,1.04
S1071,Red,15,1,15.8,1.36
S1072,Red,15,6,14.17,
S1073,Blue,12,2,17.36,0.98
S1074,Red,14,1,16.2,1.22
S1075,Red,14,5,15.43,1.18
S1076,Green,13,2,16.1,1.04
S1077,Red,12,6,17.1s,0.95
S1078,Green,14,6,15.5,1.23
S1079,Blue,13,5,16.22s,1.13
S1080,Red,11,1,17.78,0.88
