Song Title,Artist,Genre,Release Date,Total Streams,Tempo (BPM),Song Duration (seconds),Popularity Tier
Paper Skies,Mr Echo,Country,2023-01-11,3549720,115,229,Bronze
Sapphire Memories,The Lyric,Afrobeats,2019-03-14,4594627,120,208,Gold
Neon Dreams,Lil Vega,Pop,2023-07-10,5815132,115,154,Platinum
Velvet Horizon,Mr Phoenix,Electronic,2023-03-07,3905529,136,225,Silver
Golden Gravity,Young Onyx,Indie,2021-01-22,2131661,134,301,Bronze
Hollow Waves,King Maverick,Electronic,2022-09-01,2985866,139,267,Bronze
Midnight Mirage,Sir Phoenix,Electronic,2020-04-11,4009955,124,200,Silver
Golden Shadows,King Vega,Rock,2020-07-14,3844094,100,239,Silver
Velvet Pulse,King Ember,Country,2022-04-19,2210927,107,316,Bronze
Burning Storm,Young Lyric,R&B,2020-11-10,3463700,165,242,Bronze
Paper Tides,The Skyline,K-Pop,2020-09-18,5650461,121,151,Platinum
Broken Roses,Miss Aurora,Rock,2021-06-19,4182439,137,205,Silver
Golden Horizon,Young Ember,Indie,2020-07-08,4322171,140,197,Gold
Wild Bloom,Miss Maverick,Hip-Hop,2022-08-29,4867601,129,206,Platinum
Endless Mirage,Lil Phoenix,R&B,2024-07-08,3546445,92,272,Bronze
Sapphire Gravity,Lil Skyline,Afrobeats,2024-03-10,4038421,137,223,Silver
Velvet Fire,Lady Sable,K-Pop,2021-12-02,4386325,120,188,Gold
Endless Shadows,Sir Nova,Jazz,2021-06-07,4648249,149,176,Gold
Diamond Sunrise,Lady Foxes,Hip-Hop,2022-12-13,3626690,77,238,Silver
Crimson Memories,DJ Skyline,K-Pop,2023-11-05,4087403,115,193,Silver
Faded Tides,The Sable,Afrobeats,2019-09-12,4580766,112,195,Gold
Lost Mirage,Lady Skyline,Afrobeats,2020-04-07,3875850,132,229,Silver
Cosmic Memories,Neo Sable,K-Pop,2020-09-19,5649871,112,111,Platinum
Paper Fire,Young Lyric,Afrobeats,2024-11-06,3912897,122,173,Silver
Cosmic Rain,Miss Skyline,Electronic,2019-10-16,5451926,132,159,Platinum
Paper Horizon,King Vega,Country,2023-03-06,4561777,158,193,Gold
Crimson Tides,DJ Halo,Rock,2024-06-06,5169543,79,188,Platinum
Paper Dreams,Young Vega,Electronic,2021-09-05,5553887,110,194,Platinum
Endless Rain,Neo Onyx,Hip-Hop,2020-10-19,3999955,136,220,Silver
Faded Tides,Miss Lyric,Electronic,2023-12-28,3186857,84,270,Bronze
