Creator Handle,Category,Subscriber Count,Avg Video Length (seconds),Uploads Per Month,Avg Views
@JustNova2265,fitness_yt,29768,545.0,3,3102
@ItsOmar2186,Beauty,46000,782.0,2,18820
@ProKai2563,gaming,36596,367.0,3,4041
@ProFinn7200,Tech_Reviews,53126,390.0,4,20930
@RealReza9110,Tech_Reviews,37897,386.0,14,8503
@MsLuna5434,tech,151130,304.0,25,26233
@DailyLuna4322,Cooking,11140,642.0,9,15542
@DailyFinn4794,Gamer_vids,88847,156.0,14,12941
@MsRemy7281,beauty,59342,768.0,20,5803
@MsLuna7809,fitness_yt,81156,165.0,2,29037
@ProIvy8379,beauty,195151,,29,33784
@TeamSky6130,cooking,153086,936.0,22,19422
@DailyFinn7695,Tech_Reviews,84129,155.0,7,26461
@OfficialJordan4835,Gaming,117602,306.0,9,13938
@MsRemy5920,Cooking,81139,395.0,24,22099
@ProZara876,cooking,90658,233.0,30,23705
@DailyOmar2753,Comedy,74677,748.0,6,30677
@TheRemy7140,beauty,13889,580.0,18,642
@RealOmar6226,tech,30413,616.0,29,15642
@OfficialMila8483,Comedy,64105,467.0,22,28011
@JustZara1546,fitness_yt,85156,277.0,22,29396
@ItsIvy518,Gamer_vids,25859,311.0,11,10555
@ProOmar8695,Fitness,19945,503.0,24,7793
@ItsOmar4300,Gaming,170496,162.0,13,45479
@ProRemy6161,beauty,137085,665.0,8,50485
@ItsNova7050,Gaming,26631,439.0,26,16053
@ProFinn2459,Gamer_vids,17866,271.0,27,1435
@DailyIvy9761,Gaming,88698,462.0,15,100
@TeamLeo9653,beauty,65535,773.0,17,29711
@MrAria8500,beauty,8126,576.0,29,100
@MsNova1071,comedy_clips,71808,392.0,14,25698
@JustSky2895,Gaming,152813,237.0,23,56896
@TeamIvy1804,Cooking,38140,319.0,27,14276
@RealReza1745,Fitness,112750,248.0,11,45407
@OfficialEzra6449,fitness_yt,150028,307.0,23,16221
@TeamDana772,gaming,141669,790.0,1,65414
@OfficialRemy935,Gaming,53385,452.0,8,11434
@TeamAria9362,tech,109440,429.0,1,43525
@RealReza3831,beauty,128091,581.0,25,36748
@TeamLuna5696,tech,124986,361.0,3,31899
@ProKai3908,comedy_clips,10482,522.0,10,1331
@ProMax344,Cooking,100021,359.0,3,9433
@OfficialSky5226,Gamer_vids,85983,558.0,24,23128
@DailyReza5250,comedy_clips,44066,590.0,2,5692
@ItsMaya3115,Fitness,66309,622.0,12,15979
@MrFinn3431,cooking,85248,168.0,26,21858
@MsEzra3497,tech,110893,274.0,23,24442
@RealReza754,Comedy,82100,173.0,20,30270
@TheMila9062,Cooking,8245,255.0,20,6245
@JustMax3411,gaming,266793,321.0,18,49239
@MsJordan3012,Fitness,182459,639.0,13,54614
@ItsLuna5878,comedy_clips,35618,399.0,22,6620
@ProZara2332,Cooking,70222,472.0,24,11279
@TheJordan8437,Tech,13488,423.0,15,650
@ItsZara5105,Comedy,193449,655.0,10,43443
@ItsKai4399,Tech,77895,346.0,7,16521
@RealReza4005,Cooking,64601,463.0,24,4838
@RealLuna8327,Comedy,22553,592.0,17,6792
@MsSky6723,Gamer_vids,30884,71.0,29,11380
@MrSky5954,Comedy,99697,583.0,19,34007
@TeamIvy8961,tech,181714,482.0,9,17779
@MrZara2271,Beauty,116075,703.0,25,27836
@MrLeo6301,cooking,42360,466.0,17,13493
@MsJordan2991,beauty,141196,569.0,19,50270
@MsOmar1116,Cooking,30604,302.0,8,2616
